snapped_at;coin;price;market_cap;total_volume
2014-02-10 00:00:00 UTC;doge;15.721546063456332;744324433441.1271;51104311417.56507
2014-02-11 00:00:00 UTC;doge;18.639039771391346;895851160677.6415;61427443142.52492
2014-02-12 00:00:00 UTC;doge;22.22054192556922;1083971495092.5145;110891066339.9353
2014-02-13 00:00:00 UTC;doge;19.47551511203594;964282578247.386;71783680212.37717
2014-02-14 00:00:00 UTC;doge;19.760957474598584;988540217167.7697;82990619352.81348
2014-02-15 00:00:00 UTC;doge;17.26431280030693;869572507953.7445;60864046011.06489
2014-02-16 00:00:00 UTC;doge;16.488201674959253;836472011491.2395;23529086351.655697
2014-02-17 00:00:00 UTC;doge;15.7376038812678;803535085065.5468;30510104198.691334
2014-02-18 00:00:00 UTC;doge;16.03350912508713;826234343433.4989;21402995687.11401
2014-02-19 00:00:00 UTC;doge;15.896675281993407;824859660072.2675;29310207985.364254
2014-02-20 00:00:00 UTC;doge;14.10929455830232;737331217536.4071;29126713101.390713
2014-02-21 00:00:00 UTC;doge;14.213280585822664;747896617846.738;26700423224.45586
2014-02-22 00:00:00 UTC;doge;14.951218085116873;792155748137.0742;16037763417.737238
2014-02-23 00:00:00 UTC;doge;13.778084315028144;734800897553.7938;31168347196.585907
2014-02-24 00:00:00 UTC;doge;12.663587759514705;679830681871.1598;23101248435.695637
2014-02-25 00:00:00 UTC;doge;11.577934831719148;625982436982.6069;54937393622.334305
2014-02-26 00:00:00 UTC;doge;13.307888932410997;724458376144.5743;33545571598.113487
2014-02-27 00:00:00 UTC;doge;13.475455050520592;738487099862.1589;19170084984.409054
2014-02-28 00:00:00 UTC;doge;12.26406686531796;676460813477.3473;17304097461.6364
2014-03-01 00:00:00 UTC;doge;12.198341960006257;677213902558.2251;14703357592.47694
2014-03-02 00:00:00 UTC;doge;11.137180536851798;622183286924.7604;16988659650.24528
2014-03-03 00:00:00 UTC;doge;12.338574285652642;693908844903.4629;40687281012.03348
2014-03-04 00:00:00 UTC;doge;12.422230500045755;699214344494.5912;41990361991.085
2014-03-05 00:00:00 UTC;doge;11.93302975948934;675678829459.4753;42814933850.8327
2014-03-06 00:00:00 UTC;doge;12.216402166697653;696147846281.8002;13687824187.838718
2014-03-07 00:00:00 UTC;doge;10.936971214208896;627186836258.8534;12068997376.611488
2014-03-08 00:00:00 UTC;doge;10.37014285662828;598311072482.4922;17296846726.650043
2014-03-09 00:00:00 UTC;doge;9.912369008904934;575444064684.8702;16403831644.766891
2014-03-10 00:00:00 UTC;doge;9.68717077032493;565876139773.5958;15629433745.882647
2014-03-11 00:00:00 UTC;doge;9.003089751741943;529011218930.12756;17271532073.886986
2014-03-12 00:00:00 UTC;doge;8.445146519291287;499180247848.83026;34693837843.48077
2014-03-13 00:00:00 UTC;doge;10.577828156022814;629088094483.8035;55152404217.92713
2014-03-14 00:00:00 UTC;doge;9.786467308010442;585652469779.2743;22726810025.740524
2014-03-15 00:00:00 UTC;doge;9.9326670805577;597787253150.7059;11228626745.5956
2014-03-16 00:00:00 UTC;doge;9.42503407746561;570540009953.5647;9488071303.6449
2014-03-17 00:00:00 UTC;doge;8.9463195762046;544676036410.0454;9186431931.752394
2014-03-18 00:00:00 UTC;doge;8.624332401560254;528059621387.6866;16143839751.137852
2014-03-19 00:00:00 UTC;doge;8.785200063655708;540850236345.172;15643857609.20946
2014-03-20 00:00:00 UTC;doge;8.446300133501278;522836921173.334;14849261002.48378
2014-03-21 00:00:00 UTC;doge;8.079887381415928;503163220069.4065;9557741942.677465
2014-03-22 00:00:00 UTC;doge;7.811522771768339;489079773650.4855;24349349250.983814
2014-03-23 00:00:00 UTC;doge;7.753920089075244;488065011315.91174;8193001744.278049
2014-03-24 00:00:00 UTC;doge;8.405797632928143;531896120903.70276;13292781459.594028
2014-03-25 00:00:00 UTC;doge;7.743173402082856;492578430395.8884;12150168197.704393
2014-03-26 00:00:00 UTC;doge;7.442998915730728;476264804738.506;9521897793.76081
2014-03-27 00:00:00 UTC;doge;5.647561426151118;363680602158.057;15151888193.992077
2014-03-28 00:00:00 UTC;doge;5.9161719109878;382891947412.09265;29666798318.618053
2014-03-29 00:00:00 UTC;doge;6.91226831793694;450253345447.11334;17249122318.679684
2014-03-30 00:00:00 UTC;doge;6.015173275923376;394033200263.4412;16142165216.148157
2014-03-31 00:00:00 UTC;doge;5.748506997234372;378457527633.3681;15793995023.30786
2014-04-01 00:00:00 UTC;doge;;;4687916384.17082
2014-04-02 00:00:00 UTC;doge;;;3411561820.1036954
2014-04-03 00:00:00 UTC;doge;;;9242940343.327356
2014-04-04 00:00:00 UTC;doge;;;5639332218.736154
2014-04-05 00:00:00 UTC;doge;;;4672771596.734368
2014-04-06 00:00:00 UTC;doge;;;4303248053.519159
2014-04-07 00:00:00 UTC;doge;5.168807687697836;352080009132.76514;8783093678.275421
2014-04-08 00:00:00 UTC;doge;;;5666862524.240534
2014-04-09 00:00:00 UTC;doge;;;3698117729.903668
2014-04-10 00:00:00 UTC;doge;;;5541474215.076468
2014-04-11 00:00:00 UTC;doge;;;6987541911.318497
2014-04-12 00:00:00 UTC;doge;;;3740527738.568224
2014-04-13 00:00:00 UTC;doge;;;4195297570.8109136
2014-04-14 00:00:00 UTC;doge;;;8277337536.311183
2014-04-15 00:00:00 UTC;doge;;;14246666549.806288
2014-04-16 00:00:00 UTC;doge;;;39246388057.82038
2014-04-17 00:00:00 UTC;doge;;;13656420859.14669
2014-04-18 00:00:00 UTC;doge;;;4576401188.629987
2014-04-19 00:00:00 UTC;doge;;;3956589775.1486425
2014-04-20 00:00:00 UTC;doge;;;2583614659.3590207
2014-04-21 00:00:00 UTC;doge;;;2640398974.128776
2014-04-22 00:00:00 UTC;doge;;;3462749563.6987534
2014-04-23 00:00:00 UTC;doge;;;4427448426.042943
2014-04-24 00:00:00 UTC;doge;;;5375585155.305449
2014-04-25 00:00:00 UTC;doge;;;17765590090.357227
2014-04-26 00:00:00 UTC;doge;;;5372263811.3522
