snapped_at;coin;price;market_cap;total_volume
17-08-20;doge;52.00747736251872;6545410119022.971;2269039375437.4756
18-08-20;doge;53.13003710467276;6687971506800.986;2303928976251.7397
19-08-20;doge;51.80851957005514;6521805387276.321;2434588388569.511
20-08-20;doge;50.92612325448383;6411429892763.502;2331587159173.209
21-08-20;doge;50.785045401737285;6394374406995.491;2550878389166.245
22-08-20;doge;49.96692502007028;6295026933503.094;2583909773081.3447
23-08-20;doge;50.84299964698997;6403087733048.752;2352495627841.387
24-08-20;doge;50.40754447995471;6342539276334.61;2035093402139.0967
25-08-20;doge;49.81802947677038;6289833030856.154;2272630700278.142
26-08-20;doge;48.06347782310681;6055025965943.653;2291845366172.003
27-08-20;doge;48.13834003930766;6065124295050.489;2499319958096.6265
28-08-20;doge;46.71097610603241;5885644330374.657;2476654093815.617
29-08-20;doge;47.50450846076678;5986582204126.917;2672189124193.2466
30-08-20;doge;47.69073376196938;6010702695826.656;2817135046859.9526
31-08-20;doge;48.15067724408768;6060347986966.975;2581439732948.928
01-09-20;doge;46.75235393064744;5897427757520.126;2680333358884.149
02-09-20;doge;47.35004574995384;6009192389071.704;2754212342042.9536
03-09-20;doge;45.621038393270766;5748981180967.555;1761469597869.5193
04-09-20;doge;41.09199082646137;5182017195209.392;2043034308246.27
05-09-20;doge;42.74247080342695;5410446562086.087;2093179609300.8782
06-09-20;doge;40.45675065782847;5105809530341.966;2043898029217.369
07-09-20;doge;40.91470888465218;5161362942221.323;2361634525651.936
08-09-20;doge;41.667792944785376;5258867931372.649;2496347909562.665
09-09-20;doge;41.106859495341965;5169109122976.975;2262120212292.4204
10-09-20;doge;41.07546506034336;5183338278043.025;1706332906398.065
11-09-20;doge;41.811016852997504;5276737035308.335;2430246169053.962
12-09-20;doge;41.80892189054255;5292591870055.843;2263830232567.997
13-09-20;doge;42.32180855130641;5335719357564.967;2011185009677.108
14-09-20;doge;41.317766825227935;5216205753898.585;1977415846635.3623
15-09-20;doge;41.54252213178858;5248656454675.454;2178781520384.1716
16-09-20;doge;42.149812678286786;5308040069231.855;1937195939498.0493
17-09-20;doge;41.79199917410683;5275440117046.757;2302575110335.719
18-09-20;doge;41.73928888355599;5274443199438.636;2528716323382.655
19-09-20;doge;41.252865979987476;5212791611612.073;2314131009841.276
20-09-20;doge;41.34061994709098;5222531230285.059;2340472482087.074
21-09-20;doge;40.80860045030065;5155877940364.296;2437727981681.848
22-09-20;doge;38.544212456587815;4892833618408.498;1904316542953.364
23-09-20;doge;39.032351688200656;4913662879727.574;1620204824375.3928
24-09-20;doge;37.69396195441467;4763911804107.811;1296835952478.8923
25-09-20;doge;39.211486514108394;4964269588729.968;1820388082199.3025
26-09-20;doge;40.09942209757337;5064491404293.754;1988433893039.0842
27-09-20;doge;40.128454137505905;5072331268470.435;1724943836197.3865
28-09-20;doge;40.149578815742075;5079679604855.873;1265608074575.7632
29-09-20;doge;39.47973017674815;4992322054067.725;1607467164472.1226
30-09-20;doge;39.742763476570474;5026126918844.963;1751243993624.3225
01-10-20;doge;39.10205067645891;4953879009753.901;1694133908016.602
02-10-20;doge;38.99397091476816;4932510003262.638;1857028452585.1292
03-10-20;doge;38.371651581357504;4854323898155.621;2042085855120.8645
04-10-20;doge;38.44159063108851;4876177677114.3125;1888960950627.2397
05-10-20;doge;39.16888620365408;4951065388711.994;1531927737812.8464
06-10-20;doge;38.681517225969195;4895123032389.458;2088241985610.5684
07-10-20;doge;38.72048955391872;4900589874735.72;1734791059786.3818
08-10-20;doge;38.1695296269038;4815198987081.842;1871474009839.9614
09-10-20;doge;38.09901456391;4819443210170.693;1590723062815.091
10-10-20;doge;39.08848009607476;4930025539164.201;1504087329901.9036
11-10-20;doge;38.98285090897493;4940146134663.359;1451324962951.8389
12-10-20;doge;39.204202286210176;4964515830978.812;1553884811331.9888
13-10-20;doge;39.3395576041743;4982194522089.414;1447225999649.8235
14-10-20;doge;38.74100457822411;4906303825667.344;1204198168836.7512
15-10-20;doge;38.94397111376065;4930262192178.459;1358593426070.1018
16-10-20;doge;38.00420752664847;4813615350867.426;1225985681162.3425
17-10-20;doge;38.47147982166835;4883286609336.874;1688871664288.2666
18-10-20;doge;38.30924994763606;4846216342134.541;1916015242897.7253
19-10-20;doge;38.1869788344616;4837195675533.836;1094025475163.6505
20-10-20;doge;38.26747181967536;4849363445893.773;1311088265959.5237
21-10-20;doge;37.82968485690359;4773104961526.9795;861618871101.9956
22-10-20;doge;38.42105758421829;4860394797432.682;608586057888.7899
23-10-20;doge;38.90795178004671;4931303189935.23;659374436747.4006
24-10-20;doge;38.787417848510586;4929170355800.574;682028800275.856
25-10-20;doge;38.64644462205368;4906862340357.609;679774936025.0272
26-10-20;doge;38.927829167161754;4939982281106.745;821010325250.2682
27-10-20;doge;39.16315223474307;4967406380240.856;1506892457017.0295
28-10-20;doge;39.23048794039754;4976487034314.277;1080900702984.5808
29-10-20;doge;38.29340291581224;4858141483539.631;1102920044388.9753
30-10-20;doge;37.90536770905808;4817667644883.363;974334594787.8265
31-10-20;doge;37.790213274993;4794132075787.312;874502832233.3329
01-11-20;doge;37.393862106124836;4745568718132.7;864516032316.5208
02-11-20;doge;37.68918642015055;4783563605087.28;780920775854.3602
03-11-20;doge;36.89534555080379;4683196052454.065;811323431247.5111
04-11-20;doge;36.67023324122941;4655246984620.532;999271837868.9498
05-11-20;doge;36.63000484971873;4646111616829.104;1016979567015.4093
06-11-20;doge;38.24859919481905;4844577332337.361;1010479339319.8175
07-11-20;doge;39.19621001551811;4977400213167.029;1285199089462.0413
08-11-20;doge;37.98486799588223;4789735768424.21;985659173737.2997
09-11-20;doge;38.0557189461094;4901534911437.124;654370753103.6705
10-11-20;doge;38.1643961490709;4848085111751.114;773370295780.5696
11-11-20;doge;38.859507085073325;4936921649667.394;878510741224.9685
12-11-20;doge;38.98510761172475;4945692628393.201;776394947583.4374
13-11-20;doge;39.420328629201016;5009232031032.328;601106551641.1904
14-11-20;doge;40.192910944203746;5107958374515.384;695357265148.9451
15-11-20;doge;38.99106143649018;4955755246392.785;696327119108.5917
16-11-20;doge;39.28175054597124;4992999398724.117;616478079116.3599
17-11-20;doge;40.774696017369564;5183585356317.907;919103235602.9052
18-11-20;doge;41.330641353392984;5255370122956.756;934250607463.1897
19-11-20;doge;41.036463149853866;5217999214555.201;884510241402.6606
20-11-20;doge;41.1611251579337;5234414501092.404;1061760957968.7079
21-11-20;doge;42.399642904859675;5392501441120.1045;1156310432279.8044
22-11-20;doge;49.78247747958242;6330421350890.188;2627380251690.874
23-11-20;doge;47.384048418636795;6089326275609.371;2211722055186.4194
24-11-20;doge;50.91374784104669;6477454353936.338;1879637161921.464
25-11-20;doge;58.70284744408502;7469224593587.729;3873560976900.9883
26-11-20;doge;52.66952106504408;6692347489563.763;2666495360299.226
27-11-20;doge;45.78154074721229;5826407478309.061;2467707000498.1646
28-11-20;doge;46.1847917849086;5878366739981.222;1599281496531.3286
29-11-20;doge;48.05331403996618;6116854412391.489;1371428950604.8853
30-11-20;doge;48.52080549771165;6107024301040.399;1182240019895.5784
01-12-20;doge;50.2329281968155;6395670846768.219;1407890087548.6538
02-12-20;doge;47.413561730386704;6031444570015.236;1545249125728.4414
03-12-20;doge;47.63538893833855;6066268595697.465;1184770360706.8608
04-12-20;doge;48.26301858484324;6152849675687.514;1126846681688.4946
05-12-20;doge;46.811071984197305;5962573628750.643;1046304440655.9481
06-12-20;doge;48.02601654793434;6117983782502.379;1006725479258.8868
07-12-20;doge;47.72781839954418;6080656816062.57;915402919123.8896
08-12-20;doge;47.0706410248996;6019095348292.866;944240331760.73
09-12-20;doge;44.90853440494294;5744675639274.101;1029283003420.5647
10-12-20;doge;44.488545191758256;5669808229460.295;1055917965470.3826
11-12-20;doge;43.94446707482511;5624946736107.725;914326591993.2799
12-12-20;doge;43.59244290805749;5556806862550.158;1020632553797.6938
13-12-20;doge;44.843636176336375;5716917558001.036;940969793510.606
14-12-20;doge;45.85433175631127;5846391180492.454;904273283700.056
15-12-20;doge;45.41875516593391;5791466323128.051;865194080076.0067
16-12-20;doge;45.40830872429074;5788882734782.822;932183671305.3667
17-12-20;doge;48.22639084989986;6160057450053.856;1025537113950.3197
18-12-20;doge;52.570879481561775;6705636380305.966;2544069052481.014
19-12-20;doge;54.190439949874346;6877796256449.815;1811897037316.0977
20-12-20;doge;55.33032650905104;7059143634269.958;1778165525225.0415
21-12-20;doge;65.29016961728699;8330742753037.3545;6175777447705.601
22-12-20;doge;67.84672215263797;8657886145416.309;8233020411188.458
23-12-20;doge;64.10108729596854;8180804505643.248;3339411721899.004
24-12-20;doge;54.29146187051255;7006430817714.86;2638849341641.2207
25-12-20;doge;65.08868325540638;8281119922531.641;2595652760897.854
26-12-20;doge;64.72636654362431;8263303042806.281;2177162231520.7998
27-12-20;doge;63.6944556666921;8132445656597.393;2279037420575.214
28-12-20;doge;64.59035968456962;8332092939092.71;2345666898224.199
29-12-20;doge;65.05259356197314;8270553345350.73;1874815872850.5059
30-12-20;doge;63.400816967769465;8063085872765.521;1933267220007.6804
31-12-20;doge;65.28107116700637;8302783989623.692;1947387944436.905
01-01-21;doge;65.68672801227606;8344290392706.665;1781028268189.5386
02-01-21;doge;78.71929329566542;10057270640720.912;3476770156907.8384
03-01-21;doge;150.70884228891413;19256994260846.86;44306371826719.9
04-01-21;doge;141.99273590493345;18142603016826.992;32473941365592.957
05-01-21;doge;133.77240295297057;17102830676678.908;17277526476225.543
06-01-21;doge;136.81758171649633;17487724423045.918;8940705996669.645
07-01-21;doge;144.93262878010043;18436746045439.582;9692033754778.094
08-01-21;doge;138.2763996407206;17677959685220.88;7154650643203.285
09-01-21;doge;139.78894005626285;17873281358948.113;5993327110242.866
10-01-21;doge;144.45592926697782;18472068178124.445;6833057622667.144
11-01-21;doge;139.19653872744388;17801453365057.816;6071416696823.705
12-01-21;doge;125.1371238318268;16005162212706.695;7937694391435.0205
13-01-21;doge;113.52101589794897;14386506080447.748;4832735053446.733
14-01-21;doge;122.14024852836741;15625240005601.672;3943269414414.2227
